timestamp_dt,total_logs,warnings,xml_payloads,function_inputs,responses,unique_correlations,warning_ratio,hour,sin_hour,cos_hour,anomaly_score
2026-01-06 17:36:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:37:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:38:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:39:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:40:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:41:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:42:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:43:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:44:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:45:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:46:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:47:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:48:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:49:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:50:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:51:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:52:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:53:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:54:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:55:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:56:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:57:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:58:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 17:59:00+00:00,0,0,0,0,0,0,0.0,17,-0.9659258262890683,-0.25881904510252063,1
2026-01-06 18:00:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:01:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:02:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:03:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:04:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:05:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:06:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:07:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:08:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:09:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:10:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:11:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:12:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
